0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.104	0.003	-0.309	-0.422	-0.567	-0.696	0.000
0.110	-0.150	-0.506	-0.652	-0.876	-1.127	0.000
0.171	0.108	-0.152	-0.367	-0.466	-0.738	0.000
0.101	-0.122	-0.252	-0.492	-0.660	-0.900	0.000
0.008	0.027	-0.075	-0.154	-0.300	-0.523	0.000
-0.193	-0.267	-0.042	-0.085	-0.184	-0.295	0.000
-0.154	-0.152	-0.063	-0.055	-0.071	-0.146	0.000
-0.145	-0.084	0.043	0.055	0.035	0.081	0.000
-0.399	-0.239	0.056	0.192	0.314	0.411	0.000
-0.424	-0.403	-0.218	-0.062	0.208	0.154	0.000
-0.242	-0.074	-0.091	0.133	0.347	0.522	0.000
-0.200	-0.210	0.110	0.290	0.485	0.560	0.000
-0.225	-0.179	-0.052	0.172	0.345	0.492	0.000
-0.253	-0.237	-0.032	0.157	0.271	0.305	0.000
-0.011	0.009	0.016	0.040	0.170	0.196	0.000
0.091	0.066	0.067	0.183	0.142	0.145	0.000
0.425	0.341	-0.143	-0.195	-0.323	-0.505	0.000
0.382	0.423	0.161	0.045	-0.082	-0.240	0.000
0.509	0.493	-0.093	-0.290	-0.437	-0.570	0.000
0.406	0.449	0.269	0.062	-0.029	-0.136	0.000
0.253	0.244	-0.130	-0.368	-0.493	-0.663	0.000
0.225	0.360	0.184	0.123	0.016	-0.107	0.000
0.049	0.088	-0.250	-0.340	-0.467	-0.659	0.000
0.375	0.468	0.409	0.365	0.356	0.112	0.000
0.218	0.175	-0.024	-0.233	-0.346	-0.433	0.000
0.391	0.507	0.362	0.267	0.175	0.104	0.000
0.249	0.237	-0.059	-0.170	-0.392	-0.439	0.000
0.440	0.652	0.203	0.205	0.053	-0.131	0.000
0.289	0.366	-0.157	-0.329	-0.560	-0.740	0.000
0.747	0.525	0.482	0.424	0.128	-0.041	0.000
0.481	0.365	0.118	0.031	-0.273	-0.455	0.000
0.850	0.878	0.675	0.466	0.258	0.095	0.000
0.391	0.202	0.055	-0.108	-0.214	-0.398	0.000
0.412	0.402	0.388	0.455	0.460	0.418	0.000
0.020	0.000	-0.123	0.047	0.014	0.077	0.000
0.033	0.126	0.165	0.327	0.579	0.612	0.000
-0.219	-0.308	-0.278	-0.035	0.258	0.339	0.000
-0.026	0.133	0.036	0.248	0.526	0.585	0.000
-0.039	-0.069	-0.125	0.060	0.303	0.443	0.000
-0.097	-0.062	-0.076	0.117	0.291	0.386	0.000
-0.320	-0.233	-0.182	0.098	0.277	0.288	0.000
-0.288	-0.107	-0.064	-0.013	-0.148	-0.089	0.000
-0.258	-0.162	-0.328	-0.167	-0.153	-0.196	0.000
0.044	0.048	-0.176	-0.224	-0.227	-0.303	0.000
0.162	0.101	-0.005	-0.132	-0.305	-0.317	0.000
0.220	0.104	-0.209	-0.331	-0.528	-0.691	0.000
0.219	0.113	-0.115	-0.269	-0.471	-0.550	0.000
0.213	0.097	-0.195	-0.383	-0.610	-0.744	0.000
0.692	0.475	-0.020	-0.365	-0.704	-1.251	0.000
0.339	0.261	-0.274	-0.604	-0.969	-1.409	0.000
0.605	0.363	0.037	-0.364	-0.725	-1.105	0.000
0.382	0.203	-0.041	-0.350	-0.665	-0.989	0.000
0.543	0.293	0.170	-0.222	-0.517	-0.811	0.000
0.023	0.039	0.019	-0.109	-0.290	-0.530	0.000
0.182	0.191	0.239	0.034	-0.121	-0.352	0.000
-0.524	-0.250	0.228	0.368	0.513	0.435	0.000
-0.560	-0.340	0.193	0.347	0.495	0.509	0.000
-0.983	-0.575	-0.008	0.405	0.660	0.767	0.000
-0.635	-0.455	0.184	0.456	0.605	0.600	0.000
-0.861	-0.533	-0.298	-0.063	0.025	0.109	0.000
-0.152	-0.166	0.075	0.223	0.205	0.170	0.000
0.102	0.054	0.020	0.065	-0.014	-0.180	0.000
0.687	0.405	0.252	0.182	-0.014	-0.159	0.000
0.636	0.426	-0.043	-0.173	-0.414	-0.534	0.000
0.616	0.444	0.118	-0.067	-0.454	-0.689	0.000
0.762	0.550	-0.121	-0.357	-0.730	-0.904	0.000
0.486	0.137	0.092	-0.048	-0.425	-0.670	0.000
0.333	0.041	0.035	-0.123	-0.502	-0.768	0.000
0.055	-0.270	0.034	-0.051	-0.336	-0.485	0.000
-0.026	-0.061	-0.050	-0.162	-0.411	-0.660	0.000
-0.215	-0.477	-0.198	-0.269	-0.463	-0.643	0.000
-0.218	-0.558	-0.146	-0.266	-0.476	-0.676	0.000
-0.200	-0.528	-0.048	-0.170	-0.257	-0.451	0.000
